日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
9-18,"104,109","42,000","62,109",0,0,0,0,0,0,"-1,796,985",0,0,0,"499,000","2,295,985","-1,796,985","-1,734,876"
9-19,"30,058","41,000","-10,942",0,0,0,0,0,0,"-427,675",0,0,0,"518,000","945,675","-427,675","-438,617"
9-20,"20,029","468,000","-447,971",0,0,0,0,0,0,"-407,079",0,0,0,"579,000","986,079","-407,079","-855,050"
9-21,"3,030","870,000","-866,970",0,0,0,0,0,0,"-1,843,108",0,0,0,"301,000","2,144,108","-1,843,108","-2,710,078"
9-22,"72,000","142,000","-70,000",0,0,0,0,0,0,"-504,951",0,0,0,"702,000","1,206,951","-504,951","-574,951"
9-25,"1,000","98,000","-97,000",0,0,0,0,0,0,"-113,865",0,0,0,"673,000","786,865","-113,865","-210,865"
9-26,"3,000","322,000","-319,000",0,0,0,0,0,0,"-1,129,723",0,0,0,"676,000","1,805,723","-1,129,723","-1,448,723"
9-27,"23,000","49,000","-26,000",0,0,0,0,0,0,"-364,232",0,0,0,"887,000","1,251,232","-364,232","-390,232"
9-28,"137,091","147,000","-9,909",0,0,0,0,0,0,"-850,609",0,0,0,"732,000","1,582,609","-850,609","-860,518"
10-2,"127,000","139,000","-12,000",0,0,0,0,0,0,"-36,003",0,0,0,"907,485","943,488","-36,003","-48,003"
10-3,"166,000","132,000","34,000",0,0,0,0,0,0,"-934,739",0,0,0,"855,000","1,789,739","-934,739","-900,739"
10-4,"20,092","75,000","-54,908",0,0,0,0,0,0,"-1,015,142",0,0,0,"616,000","1,631,142","-1,015,142","-1,070,050"
10-5,"35,060","15,000","20,060",0,0,0,0,0,0,"-61,147",0,0,0,"1,012,000","1,073,147","-61,147","-41,087"
10-6,"7,000","26,000","-19,000",0,0,0,0,0,0,"-1,454,274",0,0,0,"842,000","2,296,274","-1,454,274","-1,473,274"
10-11,"58,000","79,000","-21,000",0,0,0,0,0,0,"-661,851",0,0,0,"1,068,940","1,730,791","-661,851","-682,851"
10-12,"101,089","49,000","52,089",0,0,0,0,0,0,"407,535",0,0,0,"1,074,704","667,169","407,535","459,624"
10-13,"21,000","42,000","-21,000",0,0,0,0,0,0,"-367,690",0,0,0,"573,000","940,690","-367,690","-388,690"
10-16,"48,030","2,000","46,030",0,0,0,0,0,0,"-568,429",0,0,0,"469,000","1,037,429","-568,429","-522,399"
